#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
1000000           1.21972905e+10  3.27409640e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -2.39271657e+06 -2.19420125e+06  1.57526866e+05  8.92682941e+07  1.43532414e+05  4.13000000e+02  1.82676200e+03
2000000           1.21970910e+10  2.28071741e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -2.49290308e+06 -2.29866681e+06  1.61802424e+05  4.03928872e+06  7.05914455e+03  4.13000000e+02  1.82676200e+03
3000000           1.21971042e+10  2.22518595e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -2.47414769e+06 -2.30155804e+06  1.83449049e+05  2.32030726e+06  4.30661896e+03  4.13000000e+02  1.82676200e+03
4000000           1.21970997e+10  2.12675300e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -2.46882453e+06 -2.30502234e+06  1.92236515e+05  1.51547783e+06  3.01788276e+03  4.13000000e+02  1.82676200e+03
5000000           1.21971059e+10  2.01508271e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -2.45140479e+06 -2.29875838e+06  2.03392284e+05  8.82461748e+05  2.00426336e+03  4.13000000e+02  1.82676200e+03
6000000           1.21971226e+10  1.94799536e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -2.42803748e+06 -2.29206467e+06  2.20065891e+05  5.80113579e+05  1.52012721e+03  4.13000000e+02  1.82676200e+03
7000000           1.21971195e+10  1.88143780e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -2.42444071e+06 -2.29464087e+06  2.26238858e+05 -6.22590477e+05 -4.05707238e+02  4.13000000e+02  1.82676200e+03
8000000           1.21971217e+10  2.00442480e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -2.43458692e+06 -2.31584402e+06  2.37295805e+05 -6.59262357e+05 -4.64428225e+02  4.13000000e+02  1.82676200e+03
9000000           1.21971367e+10  1.97940505e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -2.41707090e+06 -2.30942721e+06  2.48395005e+05  5.60229362e+05  1.48828753e+03  4.13000000e+02  1.82676200e+03
10000000          1.21971525e+10  1.98853204e+05  0.00000000e+00  0.00000000e+00  1.21993558e+10 -2.40213304e+06 -2.30600717e+06  2.59912822e+05  1.91454787e+06  3.65689519e+03  4.13000000e+02  1.82676200e+03
