#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          
100000           -1.99410843e+06  1.61150463e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.15525889e+06 -1.69336399e+06  2.87352126e+05  1.06002637e+08  1.81987943e+05  8.57000000e+02  8.00308945e+02  3.20484770e+04
200000           -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.37487847e+06 -2.30281550e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
300000           -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.16786288e+06 -3.43793924e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
400000           -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -9.34612583e+05 -2.41135630e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
500000           -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.34836153e+06 -2.26485762e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
600000           -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -4.13711043e+06 -4.82537621e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
700000           -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -7.41749499e+05  3.49397401e+01  8.57000000e+02  7.97417183e+02  3.21501847e+04
800000           -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.35924512e+06 -3.71189483e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
900000           -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.12180155e+06 -3.37200438e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
1000000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.08060924e+06 -1.88158151e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
1100000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.69254210e+06 -1.32607976e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
1200000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -9.88142637e+05 -3.17761645e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
1300000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.44073208e+06 -2.39708216e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
1400000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.46305437e+06 -2.42903558e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
1500000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -7.88134915e+05 -3.14590272e+01  8.57000000e+02  7.97417183e+02  3.21501847e+04
1600000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.97208358e+06 -3.15768942e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
1700000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.59261872e+06 -2.61450149e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
1800000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.11287320e+06 -1.92776600e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
1900000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.22246543e+06 -2.08464267e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
2000000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.95972672e+06 -1.70854327e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
2100000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -8.94912040e+04  9.68619977e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
2200000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.21433159e+06 -3.50445724e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
2300000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.18269786e+06 -2.02771706e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
2400000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.70648753e+06 -4.20895770e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
2500000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.66832822e+06 -1.29141861e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
2600000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.98606263e+06 -3.17769984e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
2700000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -3.72739416e+06 -4.23888466e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
2800000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.30344263e+06 -7.69100290e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
2900000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.11768435e+06 -1.93465296e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3000000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.11224647e+06 -1.92686887e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3100000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.11992099e+06 -1.93785462e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3200000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.84963119e+06 -1.55094617e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3300000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.46972234e+06 -2.43858050e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3400000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.83589760e+06 -2.96274494e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3500000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05  2.63638002e+05  1.47410954e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3600000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.91901385e+05  8.22024122e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
3700000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.37335657e+06 -8.69179147e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
3800000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.87497215e+06 -3.01867851e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
3900000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.87231759e+06 -3.01487862e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
4000000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.34474514e+06 -2.25968090e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
4100000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.10153853e+06 -4.80083077e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
4200000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.18236824e+06 -5.95787403e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
4300000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -2.63621587e+06 -2.67690896e+03  8.57000000e+02  7.97417183e+02  3.21501847e+04
4400000          -2.03880027e+06  1.35794451e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.17459472e+06 -1.70792488e+06  2.82577104e+05 -1.13086505e+06 -5.22062754e+02  8.57000000e+02  7.97417183e+02  3.21501847e+04
