,mu-cassandra_kJmol,run,nmols_per_nm^2,nmols
0,-57.0,0,1.7661874960676278e-05,0.0003099969000309997
1,-57.0,1,1.652239915676168e-05,0.0002899971000289997
2,-57.0,2,1.4243447548932483e-05,0.00024999750002499977
3,-54.0,0,5.013693537224234e-05,0.0008799912000879991
4,-54.0,1,5.640405229377263e-05,0.000989990100098999
5,-54.0,2,5.412510068594343e-05,0.000949990500094999
6,-51.0,0,0.0001800371770185066,0.003159968400315997
7,-51.0,1,0.00016807268107740328,0.002949970500294997
8,-51.0,2,0.00016807268107740328,0.002949970500294997
9,-48.0,0,0.0007229973975838128,0.012689873101268987
10,-48.0,1,0.0006677328210939549,0.011719882801171989
11,-48.0,2,0.0006996381436035635,0.012279877201227987
12,-47.0,0,0.00099362290101353,0.017439825601743984
13,-47.0,1,0.000995332114719402,0.017469825301746983
14,-47.0,2,0.0013366051179918243,0.023459765402345976
15,-46.0,0,10.943912472831233,192.08486915130848
16,-46.0,1,11.010480079558022,193.2532474675253
17,-46.0,2,11.00156368139239,193.09674903250968
18,-45.0,0,11.175326904634543,196.14659853401466
19,-45.0,1,11.230429105822344,197.11373886261137
20,-45.0,2,11.24985488932748,197.45469545304547
21,-42.0,0,11.659410980149485,204.6431235687643
22,-42.0,1,11.731999007286257,205.91717082829172
23,-42.0,2,11.70294693218965,205.40725592744073
