#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
100000           -3.52294924e+01  6.83481288e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.20643053e+01 -3.83305751e+01  6.40119759e+01 -7.12700541e-32 -1.21480159e-34  7.74900000e-02  8.58558984e-02
200000           -1.71326519e+00  2.95815539e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.00908073e+00 -1.60061387e+00  5.01232380e+01 -4.86248719e-31 -1.21481159e-29  5.78000000e-02  6.40401462e-02
300000           -2.46754948e+01  4.66783955e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.93433344e+01 -2.71483776e+01  6.36623672e+01 -1.56628767e-29 -2.21413827e-29  7.53300000e-02  8.34627026e-02
400000           -5.66768023e+00  3.01351025e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.96903125e+00 -5.01440201e+00  5.46127611e+01 -4.36866343e-30 -3.49358648e-29  6.35600000e-02  7.04220016e-02
500000           -5.69272614e+00  1.93329504e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.62602118e+00 -7.04298242e+00  5.42412382e+01 -6.26390193e-30 -4.59258552e-29  6.27100000e-02  6.94802347e-02
600000           -3.11772974e+00  6.26511711e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.74424145e+00 -3.22111861e+00  5.25788798e+01 -2.08992483e-29 -5.73189540e-29  6.07400000e-02  6.72975516e-02
700000           -3.14326679e+00  5.78982885e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.72224967e+00 -3.20774592e+00  5.17569605e+01 -2.36138283e-29 -6.58362888e-29  5.97900000e-02  6.62449886e-02
800000           -2.42699564e+00  2.79965673e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.70696132e+00 -2.31259947e+00  5.15011745e+01 -4.87871734e-29 -7.48168620e-29  5.93600000e-02  6.57685654e-02
900000           -2.87267494e+00  5.54448958e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.42712390e+00 -3.08974912e+00  5.23799574e+01 -4.39420225e-29 -8.59553493e-29  6.03000000e-02  6.68100487e-02
1000000          -2.42134685e+00  6.87454657e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.49009231e+00 -1.90127994e+00  5.26006154e+01 -1.03669758e-29 -9.77896461e-29  6.08400000e-02  6.74083477e-02
1100000          -1.59873299e+01  4.60354513e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.05908750e+01 -1.96909584e+01  6.15128585e+01 -1.23578108e-29 -1.04633459e-28  7.13900000e-02  7.90973363e-02
1200000          -1.01432652e+01  4.16205932e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.43053245e+01 -1.35839440e+01  5.90161868e+01 -8.34298932e-05  1.50960675e-05  6.83300000e-02  7.57069756e-02
1300000          -1.06021426e+01  1.15979277e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.17619353e+01 -1.00030648e+01  5.76115114e+01 -3.33719573e-04  1.50959165e+00  6.79100000e-02  7.52416320e-02
1400000          -2.79934822e+00  1.51184913e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.95053313e+00 -2.28953404e+00  5.24235185e+01 -5.11275367e-29 -1.45136707e-28  6.07200000e-02  6.72753923e-02
1500000          -6.04998483e+00  2.28423192e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.33421675e+00 -7.44397044e+00  5.45634914e+01 -6.28919612e-30 -1.51652139e-28  6.34300000e-02  7.02779667e-02
1600000          -2.65252293e+00  4.98130502e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.15065343e+00 -2.49349125e+00  5.37562169e+01 -8.75653935e-29 -1.62084515e-28  6.22400000e-02  6.89594931e-02
1700000          -9.86885652e-01  2.43791502e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.23067715e+00 -8.91151339e-01  4.83737370e+01 -9.70599768e-29 -1.75886358e-28  5.57200000e-02  6.17355873e-02
1800000          -1.49173956e+00  2.45159506e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.73689907e+00 -1.37034642e+00  5.21584444e+01 -1.46698704e-28 -1.86499715e-28  6.00800000e-02  6.65662973e-02
1900000          -8.19145251e-01  2.02479348e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.21170044e-01 -5.19610687e-01  5.34911015e+01 -2.59100766e-29 -2.00423049e-28  6.15300000e-02  6.81728407e-02
2000000          -2.67867334e+00  2.83095886e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.96176923e+00 -2.26602879e+00  5.26335674e+01 -3.72854233e-30 -2.07502950e-28  6.10000000e-02  6.75856214e-02
2100000          -9.47299350e+00  1.88773270e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.13607262e+01 -1.08353398e+01  5.78658344e+01 -2.59257848e-29 -2.20526327e-28  6.67900000e-02  7.40007156e-02
2200000          -2.39840533e+01  6.13162223e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.01156756e+01 -2.85861895e+01  6.40568201e+01 -1.25070659e-28 -2.29064386e-28  7.50200000e-02  8.31192347e-02
2300000          -9.08458471e+00  3.90059359e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.29851783e+01 -1.23362198e+01  5.74887296e+01 -7.03221615e-29 -2.44446339e-28  6.65000000e-02  7.36794070e-02
2400000          -9.43594612e+00  1.72727864e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.11632248e+01 -1.02000880e+01  5.55834146e+01 -1.05448111e-28 -2.53027105e-28  6.46800000e-02  7.16629179e-02
2500000          -3.29959298e+00  1.39014008e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.68973306e+00 -4.20361994e+00  5.33852303e+01 -1.29080115e-28 -2.61791479e-28  6.16200000e-02  6.82725572e-02
