# Bins	S_mean	S_stdem	S_std
-1.000000000000000000e+00 nan nan nan
-9.899999999999999911e-01 nan nan nan
-9.799999999999999822e-01 nan nan nan
-9.699999999999999734e-01 nan nan nan
-9.599999999999999645e-01 nan nan nan
-9.499999999999999556e-01 nan nan nan
-9.399999999999999467e-01 nan nan nan
-9.299999999999999378e-01 nan nan nan
-9.199999999999999289e-01 nan nan nan
-9.099999999999999201e-01 nan nan nan
-8.999999999999999112e-01 nan nan nan
-8.899999999999999023e-01 nan nan nan
-8.799999999999998934e-01 nan nan nan
-8.699999999999998845e-01 nan nan nan
-8.599999999999998757e-01 nan nan nan
-8.499999999999998668e-01 nan nan nan
-8.399999999999998579e-01 nan nan nan
-8.299999999999998490e-01 nan nan nan
-8.199999999999998401e-01 nan nan nan
-8.099999999999998312e-01 nan nan nan
-7.999999999999998224e-01 nan nan nan
-7.899999999999998135e-01 nan nan nan
-7.799999999999998046e-01 nan nan nan
-7.699999999999997957e-01 nan nan nan
-7.599999999999997868e-01 nan nan nan
-7.499999999999997780e-01 nan nan nan
-7.399999999999997691e-01 nan nan nan
-7.299999999999997602e-01 nan nan nan
-7.199999999999997513e-01 nan nan nan
-7.099999999999997424e-01 nan nan nan
-6.999999999999997335e-01 nan nan nan
-6.899999999999997247e-01 nan nan nan
-6.799999999999997158e-01 nan nan nan
-6.699999999999997069e-01 nan nan nan
-6.599999999999996980e-01 nan nan nan
-6.499999999999996891e-01 nan nan nan
-6.399999999999996803e-01 nan nan nan
-6.299999999999996714e-01 nan nan nan
-6.199999999999996625e-01 nan nan nan
-6.099999999999996536e-01 nan nan nan
-5.999999999999996447e-01 nan nan nan
-5.899999999999996358e-01 nan nan nan
-5.799999999999996270e-01 nan nan nan
-5.699999999999996181e-01 nan nan nan
-5.599999999999996092e-01 nan nan nan
-5.499999999999996003e-01 nan nan nan
-5.399999999999995914e-01 nan nan nan
-5.299999999999995826e-01 nan nan nan
-5.199999999999995737e-01 nan nan nan
-5.099999999999995648e-01 nan nan nan
-4.999999999999995559e-01 nan nan nan
-4.899999999999995470e-01 nan nan nan
-4.799999999999995381e-01 nan nan nan
-4.699999999999995293e-01 nan nan nan
-4.599999999999995204e-01 nan nan nan
-4.499999999999995115e-01 nan nan nan
-4.399999999999995026e-01 nan nan nan
-4.299999999999994937e-01 nan nan nan
-4.199999999999994849e-01 nan nan nan
-4.099999999999994760e-01 nan nan nan
-3.999999999999994671e-01 nan nan nan
-3.899999999999994582e-01 nan nan nan
-3.799999999999994493e-01 nan nan nan
-3.699999999999994404e-01 nan nan nan
-3.599999999999994316e-01 nan nan nan
-3.499999999999994227e-01 nan nan nan
-3.399999999999994138e-01 nan nan nan
-3.299999999999994049e-01 nan nan nan
-3.199999999999993960e-01 nan nan nan
-3.099999999999993872e-01 nan nan nan
-2.999999999999993783e-01 nan nan nan
-2.899999999999993694e-01 nan nan nan
-2.799999999999993605e-01 nan nan nan
-2.699999999999993516e-01 nan nan nan
-2.599999999999993427e-01 nan nan nan
-2.499999999999993339e-01 nan nan nan
-2.399999999999993250e-01 -8.747583776712417047e-02 1.662285210761886567e-02 3.324570421523773134e-02
-2.299999999999993161e-01 -8.604381084442139227e-02 8.826361817144995348e-03 1.765272363428999416e-02
-2.199999999999993072e-01 -1.281909659504890386e-01 3.350088058463637081e-02 6.700176116927275549e-02
-2.099999999999992983e-01 -1.529825925827026367e-01 2.611558252931577701e-02 5.223116505863155401e-02
-1.999999999999992895e-01 -1.525110110640525707e-01 1.906315391584417415e-02 3.812630783168834830e-02
-1.899999999999992806e-01 -1.424637556076049916e-01 1.460541785260520073e-02 2.921083570521040493e-02
-1.799999999999992717e-01 -1.332664474844932612e-01 7.867905674331125351e-03 1.573581134866225070e-02
-1.699999999999992628e-01 -1.126932784914970453e-01 1.107292156115712890e-02 2.214584312231425781e-02
-1.599999999999992539e-01 -1.044059813022613498e-01 9.926081735192330419e-03 1.985216347038466084e-02
-1.499999999999992450e-01 -8.905488550662994662e-02 1.030534343480785618e-02 2.061068686961571236e-02
-1.399999999999992362e-01 -7.011500298976898471e-02 1.477129967557713579e-02 2.954259935115426811e-02
-1.299999999999992273e-01 -5.729444622993469516e-02 1.189653470240756988e-02 2.379306940481513977e-02
-1.199999999999992184e-01 -4.076975882053375522e-02 1.490375677525845530e-02 2.980751355051690712e-02
-1.099999999999992095e-01 -2.931426763534545829e-02 1.171807853553281584e-02 2.343615707106563514e-02
-9.999999999999920064e-02 -1.677892804145813058e-02 1.267085723138658242e-02 2.534171446277316830e-02
-8.999999999999919176e-02 1.756348609924316545e-02 2.884939540734010252e-02 5.769879081468021198e-02
-7.999999999999918288e-02 4.216799736022949080e-02 2.670686879425568025e-02 5.341373758851136050e-02
-6.999999999999917399e-02 6.480210423469542902e-02 2.990264688458721398e-02 5.980529376917442796e-02
-5.999999999999916511e-02 1.234624087810516357e-01 2.287645223836761929e-02 4.575290447673523858e-02
-4.999999999999915623e-02 1.680415898561477550e-01 6.789940855879479653e-02 1.357988171175896208e-01
-3.999999999999914735e-02 1.631999969482421931e-01 8.105126244485806597e-02 1.621025248897161319e-01
-2.999999999999913847e-02 1.064629569649696295e-01 1.021545221305198425e-01 2.043090442610396851e-01
-1.999999999999912959e-02 -1.208637878298759495e-02 1.383181535457768119e-01 2.766363070915536793e-01
-9.999999999999120703e-03 -7.295771762728690824e-02 1.637363021383879680e-01 3.274726042767759360e-01
8.881784197001252323e-16 3.658870421350002289e-02 1.558914767959491965e-01 3.117829535918984485e-01
1.000000000000089706e-02 -3.487395718693733077e-02 1.081284185659651398e-01 2.162568371319303073e-01
2.000000000000090594e-02 -2.642024010419845650e-02 9.743865852031097230e-02 1.948773170406219724e-01
3.000000000000091482e-02 7.257997393608092707e-02 7.687624922087256396e-02 1.537524984417451557e-01
4.000000000000092371e-02 7.589262723922729492e-02 8.218329777363975186e-02 1.643665955472795037e-01
5.000000000000093259e-02 5.371777713298797607e-02 4.350516169786073500e-02 8.701032339572147001e-02
6.000000000000094147e-02 3.863669931888580322e-02 1.273221071677321445e-02 2.546442143354643237e-02
7.000000000000095035e-02 7.401713728904723774e-03 1.376249715791245942e-02 2.752499431582491884e-02
8.000000000000095923e-02 -2.669950723648071428e-02 1.828630259508988096e-02 3.657260519017976191e-02
9.000000000000096811e-02 -3.627382218837738037e-02 7.707719716664940095e-03 1.541543943332988192e-02
1.000000000000009770e-01 -2.630407810211181710e-02 8.960216853772642875e-03 1.792043370754528922e-02
1.100000000000009859e-01 -3.974842727184295377e-02 1.135727194752635463e-02 2.271454389505270927e-02
1.200000000000009948e-01 -4.688043892383575439e-02 1.161957914630585426e-02 2.323915829261170851e-02
1.300000000000010036e-01 -6.098927855491638461e-02 1.093299405936615752e-02 2.186598811873231851e-02
1.400000000000010125e-01 -8.065199851989746094e-02 6.041712622270358803e-03 1.208342524454071761e-02
1.500000000000010214e-01 -8.692951202392577847e-02 1.547639695887222111e-02 3.095279391774444569e-02
1.600000000000010303e-01 -1.026946693658828680e-01 1.005626796961991802e-02 2.011253593923983604e-02
1.700000000000010392e-01 -1.169377133250236456e-01 5.104359562641187266e-03 1.020871912528237453e-02
1.800000000000010481e-01 -1.317960381507873591e-01 5.224159507550017560e-03 1.044831901510003512e-02
1.900000000000010569e-01 -1.612366750836372320e-01 9.630683443181856790e-03 1.926136688636371358e-02
2.000000000000010658e-01 -1.794123783707618769e-01 7.878401880718749820e-03 1.575680376143750311e-02
2.100000000000010747e-01 -1.639807626605033763e-01 1.423386146390789517e-02 2.846772292781579033e-02
2.200000000000010836e-01 -1.167775407433509771e-01 3.311020384257423732e-02 6.622040768514847464e-02
2.300000000000010925e-01 -5.253076255321502408e-02 5.196489859807497391e-02 1.039297971961499617e-01
2.400000000000011013e-01 -1.629299670457839966e-02 4.082784182293699299e-02 8.165568364587398598e-02
2.500000000000011102e-01 nan nan nan
2.600000000000011191e-01 nan nan nan
2.700000000000011280e-01 nan nan nan
2.800000000000011369e-01 nan nan nan
2.900000000000011458e-01 nan nan nan
3.000000000000011546e-01 nan nan nan
3.100000000000011635e-01 nan nan nan
3.200000000000011724e-01 nan nan nan
3.300000000000011813e-01 nan nan nan
3.400000000000011902e-01 nan nan nan
3.500000000000011990e-01 nan nan nan
3.600000000000012079e-01 nan nan nan
3.700000000000012168e-01 nan nan nan
3.800000000000012257e-01 nan nan nan
3.900000000000012346e-01 nan nan nan
4.000000000000012434e-01 nan nan nan
4.100000000000012523e-01 nan nan nan
4.200000000000012612e-01 nan nan nan
4.300000000000012701e-01 nan nan nan
4.400000000000012790e-01 nan nan nan
4.500000000000012879e-01 nan nan nan
4.600000000000012967e-01 nan nan nan
4.700000000000013056e-01 nan nan nan
4.800000000000013145e-01 nan nan nan
4.900000000000013234e-01 nan nan nan
5.000000000000013323e-01 nan nan nan
5.100000000000013411e-01 nan nan nan
5.200000000000013500e-01 nan nan nan
5.300000000000013589e-01 nan nan nan
5.400000000000013678e-01 nan nan nan
5.500000000000013767e-01 nan nan nan
5.600000000000013856e-01 nan nan nan
5.700000000000013944e-01 nan nan nan
5.800000000000014033e-01 nan nan nan
5.900000000000014122e-01 nan nan nan
6.000000000000014211e-01 nan nan nan
6.100000000000014300e-01 nan nan nan
6.200000000000014388e-01 nan nan nan
6.300000000000014477e-01 nan nan nan
6.400000000000014566e-01 nan nan nan
6.500000000000014655e-01 nan nan nan
6.600000000000014744e-01 nan nan nan
6.700000000000014833e-01 nan nan nan
6.800000000000014921e-01 nan nan nan
6.900000000000015010e-01 nan nan nan
7.000000000000015099e-01 nan nan nan
7.100000000000015188e-01 nan nan nan
7.200000000000015277e-01 nan nan nan
7.300000000000015365e-01 nan nan nan
7.400000000000015454e-01 nan nan nan
7.500000000000015543e-01 nan nan nan
7.600000000000015632e-01 nan nan nan
