# Angle_bins	RelativeFreq
1.500000000000000000e+00 2.956729612995643089e-02
4.500000000000000000e+00 2.979565680694674923e-02
7.500000000000000000e+00 3.061663091522087363e-02
1.050000000000000000e+01 2.973004885930206898e-02
1.350000000000000000e+01 2.584714956226307273e-02
1.650000000000000000e+01 2.413695447067510519e-02
1.950000000000000000e+01 2.167228822273869690e-02
2.250000000000000000e+01 2.344462127185019049e-02
2.550000000000000000e+01 2.234433781740342850e-02
2.850000000000000000e+01 1.966337627051431211e-02
3.150000000000000000e+01 1.955931879296498102e-02
3.450000000000000000e+01 1.899125352057563429e-02
3.750000000000000000e+01 1.842238131245562197e-02
4.050000000000000000e+01 1.787629320899776150e-02
4.350000000000000000e+01 1.525962945843976903e-02
4.650000000000000000e+01 1.495991329403937448e-02
4.950000000000000000e+01 1.395912846398785975e-02
5.250000000000000000e+01 1.254320271725136576e-02
5.550000000000000000e+01 1.103985361029143943e-02
5.850000000000000000e+01 1.061508269218953276e-02
6.150000000000000000e+01 1.175476062629284869e-02
6.450000000000000000e+01 1.155021938578129279e-02
6.750000000000000000e+01 1.017269833947739496e-02
7.050000000000000000e+01 9.266444437133793122e-03
7.350000000000000000e+01 9.571361391039361066e-03
7.650000000000000000e+01 8.690741104912202281e-03
7.950000000000000000e+01 9.237113251535762626e-03
8.250000000000000000e+01 7.774738706394264919e-03
8.550000000000000000e+01 8.064792194281352605e-03
8.850000000000000000e+01 7.505454618350665755e-03
9.150000000000000000e+01 8.374507258370215632e-03
9.450000000000000000e+01 7.684526943470443815e-03
9.750000000000000000e+01 7.105601358712790826e-03
1.005000000000000000e+02 6.216978831903200581e-03
1.035000000000000000e+02 6.692682869577247159e-03
1.065000000000000000e+02 6.325994447778166690e-03
1.095000000000000000e+02 5.412407871960607172e-03
1.125000000000000000e+02 4.975218851744406777e-03
1.155000000000000000e+02 3.780071798982967760e-03
1.185000000000000000e+02 3.990148102503076992e-03
1.215000000000000000e+02 3.705089944917812350e-03
1.245000000000000000e+02 2.932461115233663679e-03
1.275000000000000000e+02 3.623591896094838314e-03
1.305000000000000000e+02 3.780597292330044844e-03
1.335000000000000000e+02 3.157478060605107325e-03
1.365000000000000000e+02 2.386468366432685506e-03
1.395000000000000000e+02 2.261898324403798129e-03
1.425000000000000000e+02 2.101708290575922140e-03
1.455000000000000000e+02 1.478027072820130381e-03
1.485000000000000000e+02 1.058077523576158056e-03
1.515000000000000000e+02 1.191719773970563792e-03
1.545000000000000000e+02 8.438748272582577642e-04
1.575000000000000000e+02 7.842390918400589384e-04
1.605000000000000000e+02 8.044299121977239921e-04
1.635000000000000000e+02 7.786114345379068673e-04
1.665000000000000000e+02 1.014940427837554646e-03
1.695000000000000000e+02 6.934122182927586735e-04
1.725000000000000000e+02 6.050717572178039702e-04
1.755000000000000000e+02 6.039660163570276545e-04
1.785000000000000000e+02 0.000000000000000000e+00
