# Angle_bins	RelativeFreq
1.129301190376281738e+00 7.257753705908676816e-04
2.892159223556518555e+00 1.559073123735103773e-03
4.655016899108886719e+00 2.123565116811607263e-03
6.417875289916992188e+00 3.521353861458980175e-03
8.180733680725097656e+00 4.300891375820976165e-03
9.943592071533203125e+00 5.322351637930366856e-03
1.170644950866699219e+01 5.483637987446336910e-03
1.346930694580078125e+01 6.451335318703475818e-03
1.523216533660888672e+01 6.720144592458746936e-03
1.699502372741699219e+01 6.531973476508460240e-03
1.875788116455078125e+01 6.854547484307921788e-03
2.052074050903320312e+01 7.956651197471156095e-03
2.228359794616699219e+01 8.413611926531472732e-03
2.404645538330078125e+01 9.327560694332740973e-03
2.580931472778320312e+01 1.048342556423564539e-02
2.757217025756835938e+01 8.978113175524885664e-03
2.933502960205078125e+01 9.461953348687150711e-03
3.109788894653320312e+01 1.053718672097531638e-02
3.286074829101562500e+01 1.067157806655908737e-02
3.462360382080078125e+01 1.064472055166118883e-02
3.638645935058593750e+01 1.072533916513117302e-02
3.814932250976562500e+01 1.139735289728224972e-02
3.991217803955078125e+01 1.112857148582760587e-02
4.167503356933593750e+01 1.193496388300311142e-02
4.343789672851562500e+01 1.067157806655908737e-02
4.520075225830078125e+01 1.085976541129070674e-02
4.696360778808593750e+01 1.034901147512657174e-02
4.872647094726562500e+01 1.029525037655448436e-02
5.048932647705078125e+01 1.069848176656856831e-02
5.225218200683593750e+01 9.945803235835925030e-03
5.401504516601562500e+01 9.300670052970892027e-03
5.577790069580078125e+01 9.435093216245143619e-03
5.754075622558593750e+01 8.816820165822117708e-03
5.930361938476562500e+01 9.488833897973194403e-03
6.106647491455078125e+01 9.892063542957870922e-03
6.282933044433593750e+01 1.048341422155678673e-02
6.459219360351562500e+01 1.059095933675380762e-02
6.635504913330078125e+01 1.018770613396757611e-02
6.811790466308593750e+01 8.978122889532414580e-03
6.988076782226562500e+01 8.601794385180758229e-03
7.164362335205078125e+01 9.139366980340304925e-03
7.340647888183593750e+01 8.924361674625036836e-03
7.516934204101562500e+01 9.085645319347175272e-03
7.693219757080078125e+01 8.332952246780867683e-03
7.869505310058593750e+01 9.327570786430384661e-03
8.045791625976562500e+01 8.359868918097548840e-03
8.222077178955078125e+01 7.956625371119794773e-03
8.398362731933593750e+01 7.768495554116371972e-03
8.574649047851562500e+01 7.876017983931130062e-03
8.750934600830078125e+01 7.902864388882499883e-03
8.927220153808593750e+01 7.392167049764713019e-03
9.103506469726562500e+01 8.359868918097548840e-03
9.279792022705078125e+01 8.628637649085994787e-03
9.456077575683593750e+01 6.962077330505675454e-03
9.632363891601562500e+01 7.311525227403644668e-03
9.808649444580078125e+01 7.096449655323060907e-03
9.984934997558593750e+01 5.698688780182251633e-03
1.016122131347656250e+02 7.069599760320435279e-03
1.033750686645507812e+02 6.478198359594158386e-03
1.051379241943359375e+02 5.564285742913802936e-03
1.069007873535156250e+02 6.101897891987599458e-03
1.086636428833007812e+02 5.053532330305816021e-03
1.104264984130859375e+02 5.510524528006422590e-03
1.121893615722656250e+02 4.919151164025245722e-03
1.139522094726562500e+02 3.333195324257543727e-03
1.157150726318359375e+02 3.548224827661530453e-03
1.174779357910156250e+02 3.628882006248132161e-03
1.192407836914062500e+02 3.602001398794441988e-03
1.210036468505859375e+02 3.118136969763163086e-03
1.227665100097656250e+02 2.876224997544815989e-03
1.245293579101562500e+02 2.688060745368986513e-03
1.262922210693359375e+02 2.177319780610484715e-03
1.280550842285156250e+02 3.118150464628024945e-03
1.298179321289062500e+02 3.037495496407219449e-03
1.315807952880859375e+02 2.580549483814919675e-03
1.333436584472656250e+02 2.499885674034260132e-03
1.351065063476562500e+02 1.747231922712117348e-03
1.368693695068359375e+02 1.747247046333018534e-03
1.386322326660156250e+02 1.290263573695102101e-03
1.403950805664062500e+02 1.532187993762933664e-03
1.421579437255859375e+02 1.532201256015108381e-03
1.439208068847656250e+02 7.526537513221427840e-04
1.456836547851562500e+02 7.795342424407907716e-04
1.474465179443359375e+02 6.988988185332073487e-04
1.492093811035156250e+02 5.644903134916071964e-04
1.509722290039062500e+02 6.182512957289030631e-04
1.527350921630859375e+02 5.107337520050361269e-04
1.544979553222656250e+02 3.763268756610713920e-04
1.562608032226562500e+02 3.225658934237755253e-04
1.580236663818359375e+02 2.419265141076487060e-04
1.597865295410156250e+02 2.688049111864796044e-04
1.615493774414062500e+02 2.419244200678316169e-04
1.633122406005859375e+02 2.150457903179099639e-04
1.650751037597656250e+02 2.419244200678316169e-04
1.668379516601562500e+02 2.419244200678316169e-04
1.686008148193359375e+02 1.075228951589549819e-04
1.703636779785156250e+02 1.344024555932398022e-04
1.721265258789062500e+02 1.075219644745918282e-04
1.738893890380859375e+02 2.688072378973874549e-05
1.756522521972656250e+02 8.064147335594388133e-05
