# Bins	angle_mean	angle_std
-1.000000000000000000e+00 nan nan
-9.899999999999999911e-01 nan nan
-9.799999999999999822e-01 nan nan
-9.699999999999999734e-01 nan nan
-9.599999999999999645e-01 nan nan
-9.499999999999999556e-01 nan nan
-9.399999999999999467e-01 nan nan
-9.299999999999999378e-01 nan nan
-9.199999999999999289e-01 nan nan
-9.099999999999999201e-01 nan nan
-8.999999999999999112e-01 nan nan
-8.899999999999999023e-01 nan nan
-8.799999999999998934e-01 nan nan
-8.699999999999998845e-01 nan nan
-8.599999999999998757e-01 nan nan
-8.499999999999998668e-01 nan nan
-8.399999999999998579e-01 nan nan
-8.299999999999998490e-01 nan nan
-8.199999999999998401e-01 nan nan
-8.099999999999998312e-01 nan nan
-7.999999999999998224e-01 nan nan
-7.899999999999998135e-01 nan nan
-7.799999999999998046e-01 nan nan
-7.699999999999997957e-01 nan nan
-7.599999999999997868e-01 nan nan
-7.499999999999997780e-01 nan nan
-7.399999999999997691e-01 nan nan
-7.299999999999997602e-01 nan nan
-7.199999999999997513e-01 nan nan
-7.099999999999997424e-01 nan nan
-6.999999999999997335e-01 nan nan
-6.899999999999997247e-01 nan nan
-6.799999999999997158e-01 nan nan
-6.699999999999997069e-01 nan nan
-6.599999999999996980e-01 nan nan
-6.499999999999996891e-01 nan nan
-6.399999999999996803e-01 nan nan
-6.299999999999996714e-01 nan nan
-6.199999999999996625e-01 nan nan
-6.099999999999996536e-01 nan nan
-5.999999999999996447e-01 nan nan
-5.899999999999996358e-01 nan nan
-5.799999999999996270e-01 nan nan
-5.699999999999996181e-01 nan nan
-5.599999999999996092e-01 nan nan
-5.499999999999996003e-01 nan nan
-5.399999999999995914e-01 nan nan
-5.299999999999995826e-01 nan nan
-5.199999999999995737e-01 nan nan
-5.099999999999995648e-01 nan nan
-4.999999999999995559e-01 nan nan
-4.899999999999995470e-01 nan nan
-4.799999999999995381e-01 nan nan
-4.699999999999995293e-01 nan nan
-4.599999999999995204e-01 nan nan
-4.499999999999995115e-01 nan nan
-4.399999999999995026e-01 nan nan
-4.299999999999994937e-01 nan nan
-4.199999999999994849e-01 nan nan
-4.099999999999994760e-01 nan nan
-3.999999999999994671e-01 nan nan
-3.899999999999994582e-01 nan nan
-3.799999999999994493e-01 nan nan
-3.699999999999994404e-01 nan nan
-3.599999999999994316e-01 nan nan
-3.499999999999994227e-01 nan nan
-3.399999999999994138e-01 nan nan
-3.299999999999994049e-01 nan nan
