# Angle_bins	RelativeFreq
1.500000000000000000e+00 1.030706929886559431e+00
4.500000000000000000e+00 9.923485567917404992e-01
7.500000000000000000e+00 9.951496704561680895e-01
1.050000000000000000e+01 1.018402412370430277e+00
1.350000000000000000e+01 9.658880301004948432e-01
1.650000000000000000e+01 9.995099410432907172e-01
1.950000000000000000e+01 9.647335212673375793e-01
2.250000000000000000e+01 9.497913357928164935e-01
2.550000000000000000e+01 1.002743473020265785e+00
2.850000000000000000e+01 1.016995426667255842e+00
3.150000000000000000e+01 9.789082585624498956e-01
3.450000000000000000e+01 1.015646284944047517e+00
3.750000000000000000e+01 9.927847602407501304e-01
4.050000000000000000e+01 1.001807313015589340e+00
4.350000000000000000e+01 1.014617061658347863e+00
4.650000000000000000e+01 1.015440898791248658e+00
4.950000000000000000e+01 1.030246648219741212e+00
5.250000000000000000e+01 1.006165948915032970e+00
5.550000000000000000e+01 1.011857501666180159e+00
5.850000000000000000e+01 9.897723886966446338e-01
6.150000000000000000e+01 1.004368650691685350e+00
6.450000000000000000e+01 9.777066535667734426e-01
6.750000000000000000e+01 1.010033119841495353e+00
7.050000000000000000e+01 9.876809140717598412e-01
7.350000000000000000e+01 1.004180170466623778e+00
7.650000000000000000e+01 9.957361873303995914e-01
7.950000000000000000e+01 1.022345372901253935e+00
8.250000000000000000e+01 9.894079414052472377e-01
8.550000000000000000e+01 1.029599185971328712e+00
8.850000000000000000e+01 9.558319548529128351e-01
9.150000000000000000e+01 9.913045405110280095e-01
9.450000000000000000e+01 1.012974039521172154e+00
9.750000000000000000e+01 9.925180646002343954e-01
1.005000000000000000e+02 9.805969901504933972e-01
1.035000000000000000e+02 9.931596406673230959e-01
1.065000000000000000e+02 1.017847955012606498e+00
1.095000000000000000e+02 9.827741987048128625e-01
1.125000000000000000e+02 9.991860066172577604e-01
1.155000000000000000e+02 1.004183094938749576e+00
1.185000000000000000e+02 1.014017607161212586e+00
1.215000000000000000e+02 9.667176310700041908e-01
1.245000000000000000e+02 1.016300601396167957e+00
1.275000000000000000e+02 1.004465523603008448e+00
1.305000000000000000e+02 1.002367895131384135e+00
1.335000000000000000e+02 1.023145709378623147e+00
1.365000000000000000e+02 9.975387943401472501e-01
1.395000000000000000e+02 1.014567299526154986e+00
1.425000000000000000e+02 9.839206105957430948e-01
1.455000000000000000e+02 1.009181534721622864e+00
1.485000000000000000e+02 1.044562241239207934e+00
1.515000000000000000e+02 9.883192252004658895e-01
1.545000000000000000e+02 9.503680326884036411e-01
1.575000000000000000e+02 1.001158629669203881e+00
1.605000000000000000e+02 9.647335212673366911e-01
1.635000000000000000e+02 1.018509451124222531e+00
1.665000000000000000e+02 9.989098430953827767e-01
1.695000000000000000e+02 9.560080797329881808e-01
1.725000000000000000e+02 1.023202851077336106e+00
1.755000000000000000e+02 1.002173790027300671e+00
1.785000000000000000e+02 1.074880084024543825e+00
