# Angle_bins	RelativeFreq
1.500000000000000000e+00 2.349999999999999930e-04
4.500000000000000000e+00 6.849999999999999535e-04
7.500000000000000000e+00 1.136666666666666685e-03
1.050000000000000000e+01 1.621666666666666656e-03
1.350000000000000000e+01 1.976666666666666503e-03
1.650000000000000000e+01 2.478333333333333256e-03
1.950000000000000000e+01 2.809999999999999998e-03
2.250000000000000000e+01 3.176666666666667048e-03
2.550000000000000000e+01 3.766666666666666861e-03
2.850000000000000000e+01 4.231666666666666562e-03
3.150000000000000000e+01 4.456666666666666936e-03
3.450000000000000000e+01 5.016666666666666670e-03
3.750000000000000000e+01 5.273333333333333865e-03
4.050000000000000000e+01 5.676666666666666666e-03
4.350000000000000000e+01 6.091666666666666237e-03
4.650000000000000000e+01 6.436666666666666058e-03
4.950000000000000000e+01 6.846666666666666699e-03
5.250000000000000000e+01 6.980000000000000093e-03
5.550000000000000000e+01 7.289999999999999605e-03
5.850000000000000000e+01 7.381666666666666585e-03
6.150000000000000000e+01 7.708333333333333530e-03
6.450000000000000000e+01 7.696666666666665893e-03
6.750000000000000000e+01 8.134999999999999870e-03
7.050000000000000000e+01 8.139999999999999666e-03
7.350000000000000000e+01 8.396666666666666862e-03
7.650000000000000000e+01 8.439999999999999586e-03
7.950000000000000000e+01 8.766666666666665664e-03
8.250000000000000000e+01 8.536666666666666362e-03
8.550000000000000000e+01 8.970000000000000542e-03
8.850000000000000000e+01 8.344999999999999987e-03
9.150000000000000000e+01 8.653333333333334057e-03
9.450000000000000000e+01 8.819999999999999715e-03
9.750000000000000000e+01 8.578333333333333643e-03
1.005000000000000000e+02 8.415000000000000605e-03
1.035000000000000000e+02 8.433333333333334347e-03
1.065000000000000000e+02 8.516666666666665442e-03
1.095000000000000000e+02 8.094999999999999765e-03
1.125000000000000000e+02 8.054999999999999660e-03
1.155000000000000000e+02 7.928333333333334107e-03
1.185000000000000000e+02 7.793333333333333536e-03
1.215000000000000000e+02 7.191666666666666520e-03
1.245000000000000000e+02 7.315000000000000321e-03
1.275000000000000000e+02 6.956666666666666554e-03
1.305000000000000000e+02 6.649999999999999661e-03
1.335000000000000000e+02 6.505000000000000365e-03
1.365000000000000000e+02 5.996666666666666638e-03
1.395000000000000000e+02 5.765000000000000159e-03
1.425000000000000000e+02 5.218333333333333504e-03
1.455000000000000000e+02 4.978333333333332875e-03
1.485000000000000000e+02 4.763333333333332961e-03
1.515000000000000000e+02 4.108333333333332761e-03
1.545000000000000000e+02 3.581666666666667026e-03
1.575000000000000000e+02 3.334999999999999857e-03
1.605000000000000000e+02 2.811666666666666741e-03
1.635000000000000000e+02 2.516666666666666618e-03
1.665000000000000000e+02 2.028333333333333377e-03
1.695000000000000000e+02 1.521666666666666610e-03
1.725000000000000000e+02 1.160000000000000007e-03
1.755000000000000000e+02 6.916666666666667100e-04
1.785000000000000000e+02 2.466666666666666812e-04
