# cos_Angle_bins	RelativeFreq
-9.833221435546875000e-01 4.993873791968982401e-01
-9.499890804290771484e-01 4.931791067447839905e-01
-9.166559576988220215e-01 4.948456256758251848e-01
-8.833228349685668945e-01 4.845480938235519619e-01
-8.499897718429565430e-01 5.193749880671197916e-01
-8.166565895080566406e-01 4.996902217555380110e-01
-7.833235263824462891e-01 4.987816940796188092e-01
-7.499903440475463867e-01 5.105925538665678776e-01
-7.166572809219360352e-01 4.957541549763315736e-01
-6.833242177963256836e-01 5.119553453804466248e-01
-6.499910354614257812e-01 5.021129622246557345e-01
-6.166579723358154297e-01 4.980245876830195484e-01
-5.833247900009155273e-01 5.137724007322849173e-01
-5.499917268753051758e-01 5.045366048812269799e-01
-5.166586637496948242e-01 4.754628170643603879e-01
-4.833255112171173096e-01 5.030214899005748252e-01
-4.499923884868621826e-01 5.027186473419351653e-01
-4.166592955589294434e-01 5.069588964223290528e-01
-3.833261728286743164e-01 5.049899665317331143e-01
-3.499930500984191895e-01 4.937847918620634213e-01
-3.166599273681640625e-01 4.899996979757039184e-01
-2.833268344402313232e-01 5.072612857215310633e-01
-2.499937117099761963e-01 5.072615124865307301e-01
-2.166606187820434570e-01 4.937850126025601361e-01
-1.833274960517883301e-01 4.898478385997471207e-01
-1.499943733215332031e-01 4.937850126025601361e-01
-1.166612729430198669e-01 4.983276530128872839e-01
-8.332815766334533691e-02 5.083213482961631557e-01
-4.999504983425140381e-02 4.957534347085632565e-01
-1.666193641722202301e-02 4.980247546598853270e-01
1.667117513716220856e-02 4.843968349519529037e-01
5.000428855419158936e-02 4.786428244086036732e-01
8.333739638328552246e-02 5.211921599152199436e-01
1.166705116629600525e-01 5.009018159120727232e-01
1.500036120414733887e-01 5.049901922813671007e-01
1.833367347717285156e-01 5.015072771073763036e-01
2.166698575019836426e-01 5.099870967327269078e-01
2.500029504299163818e-01 4.984790743598981888e-01
2.833360731601715088e-01 5.042328601351337980e-01
3.166691660881042480e-01 4.825800486553054602e-01
3.500022888183593750e-01 5.108953964252076485e-01
3.833354115486145020e-01 5.022643835039756199e-01
4.166685342788696289e-01 4.860627411934516640e-01
4.500016272068023682e-01 4.937847918620634213e-01
4.833347499370574951e-01 5.065041793249316360e-01
5.166678428649902344e-01 4.934819493034237614e-01
5.500009655952453613e-01 5.012053307793700174e-01
5.833340883255004883e-01 5.055956516490125452e-01
6.166671514511108398e-01 5.093811836320090158e-01
6.500003337860107422e-01 5.111982389838473084e-01
6.833333969116210938e-01 5.111982389838473084e-01
7.166665196418762207e-01 5.115019961851093866e-01
7.499996423721313477e-01 4.981760089623393783e-01
7.833327054977416992e-01 4.940876344207031923e-01
8.166658878326416016e-01 5.122581879390862847e-01
8.499989509582519531e-01 4.898478385997471207e-01
8.833321332931518555e-01 5.055956516490125452e-01
9.166651964187622070e-01 4.878802343719427226e-01
9.499982595443725586e-01 4.872736768513095118e-01
9.833314418792724609e-01 4.992359579175784101e-01
