# Bins	Density_mean	Density_std
-1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-9.899999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00
-9.799999999999999822e-01 0.000000000000000000e+00 0.000000000000000000e+00
-9.699999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00
-9.599999999999999645e-01 0.000000000000000000e+00 0.000000000000000000e+00
-9.499999999999999556e-01 0.000000000000000000e+00 0.000000000000000000e+00
-9.399999999999999467e-01 0.000000000000000000e+00 0.000000000000000000e+00
-9.299999999999999378e-01 0.000000000000000000e+00 0.000000000000000000e+00
-9.199999999999999289e-01 0.000000000000000000e+00 0.000000000000000000e+00
-9.099999999999999201e-01 0.000000000000000000e+00 0.000000000000000000e+00
-8.999999999999999112e-01 0.000000000000000000e+00 0.000000000000000000e+00
-8.899999999999999023e-01 0.000000000000000000e+00 0.000000000000000000e+00
-8.799999999999998934e-01 0.000000000000000000e+00 0.000000000000000000e+00
-8.699999999999998845e-01 0.000000000000000000e+00 0.000000000000000000e+00
-8.599999999999998757e-01 0.000000000000000000e+00 0.000000000000000000e+00
-8.499999999999998668e-01 0.000000000000000000e+00 0.000000000000000000e+00
-8.399999999999998579e-01 5.127623556637700766e-03 2.732357632511552177e-03
-8.299999999999998490e-01 9.315182794558490853e-02 1.374174295386696061e-02
-8.199999999999998401e-01 7.104607305696903907e-01 3.230458105601068802e-02
-8.099999999999998312e-01 2.642720207495997009e+00 7.860652920628057039e-02
-7.999999999999998224e-01 5.874547388054592645e+00 1.269412100778053720e-01
-7.899999999999998135e-01 9.569000160612056050e+00 7.387643289196704766e-02
-7.799999999999998046e-01 1.283956938582080376e+01 2.001452472632724855e-01
-7.699999999999997957e-01 1.594918820494619993e+01 1.861040542684375410e-01
-7.599999999999997868e-01 1.935165130275068179e+01 2.493934118040670167e-01
-7.499999999999997780e-01 2.414626419618230102e+01 1.789839340400568579e-01
-7.399999999999997691e-01 3.147192905076536107e+01 1.965132775478579397e-01
-7.299999999999997602e-01 4.306747998815077949e+01 1.790748159277995855e-01
