# Bins	S_mean	S_std
-1.000000000000000000e+00 nan nan
-9.899999999999999911e-01 nan nan
-9.799999999999999822e-01 nan nan
-9.699999999999999734e-01 nan nan
-9.599999999999999645e-01 nan nan
-9.499999999999999556e-01 nan nan
-9.399999999999999467e-01 nan nan
-9.299999999999999378e-01 nan nan
-9.199999999999999289e-01 nan nan
-9.099999999999999201e-01 nan nan
-8.999999999999999112e-01 nan nan
-8.899999999999999023e-01 nan nan
-8.799999999999998934e-01 nan nan
-8.699999999999998845e-01 nan nan
-8.599999999999998757e-01 nan nan
-8.499999999999998668e-01 nan nan
-8.399999999999998579e-01 nan nan
-8.299999999999998490e-01 nan nan
-8.199999999999998401e-01 nan nan
-8.099999999999998312e-01 nan nan
-7.999999999999998224e-01 nan nan
-7.899999999999998135e-01 nan nan
-7.799999999999998046e-01 nan nan
-7.699999999999997957e-01 nan nan
-7.599999999999997868e-01 nan nan
-7.499999999999997780e-01 nan nan
-7.399999999999997691e-01 -2.972084819339215755e-01 3.442386353278780592e-02
-7.299999999999997602e-01 -2.970120115205645561e-01 6.500400962098714860e-03
-7.199999999999997513e-01 -2.972668800503015518e-01 3.688345780296959850e-03
-7.099999999999997424e-01 -2.964856643229722977e-01 2.175174126225236197e-03
-6.999999999999997335e-01 -2.957087121903896332e-01 2.106137790826972597e-03
-6.899999999999997247e-01 -2.909342180937528610e-01 8.062191402468968328e-04
-6.799999999999997158e-01 -2.833543764427304268e-01 1.425450643018401310e-03
-6.699999999999997069e-01 -2.736469116061925888e-01 9.475417241790215321e-04
-6.599999999999996980e-01 -2.614557798951864243e-01 1.137835220927812521e-03
-6.499999999999996891e-01 -2.490385379642248154e-01 1.492780230263849629e-03
-6.399999999999996803e-01 -2.340654972940683365e-01 1.385434640544436343e-03
-6.299999999999996714e-01 -2.219367325305938721e-01 2.059473162444154515e-03
-6.199999999999996625e-01 -2.085925359278917313e-01 1.304497675844160098e-03
-6.099999999999996536e-01 -1.940366681665182114e-01 2.867249972043742039e-03
-5.999999999999996447e-01 -1.817036112770438194e-01 3.182408807468802177e-03
-5.899999999999996358e-01 -1.697978917509317398e-01 4.244147801440535661e-03
-5.799999999999996270e-01 -1.559706488624215126e-01 3.087157265240001499e-03
-5.699999999999996181e-01 -1.429455820471048355e-01 2.198454330895570786e-03
-5.599999999999996092e-01 -1.288216114044189453e-01 5.485800966193448043e-03
-5.499999999999996003e-01 -1.127221882343292236e-01 3.213977349724037296e-03
