# Bins	S_mean	S_std
-1.000000000000000000e+00 nan nan
-9.899999999999999911e-01 nan nan
-9.799999999999999822e-01 nan nan
-9.699999999999999734e-01 nan nan
-9.599999999999999645e-01 nan nan
-9.499999999999999556e-01 nan nan
-9.399999999999999467e-01 nan nan
-9.299999999999999378e-01 nan nan
-9.199999999999999289e-01 nan nan
-9.099999999999999201e-01 nan nan
-8.999999999999999112e-01 nan nan
-8.899999999999999023e-01 nan nan
-8.799999999999998934e-01 nan nan
-8.699999999999998845e-01 nan nan
-8.599999999999998757e-01 nan nan
-8.499999999999998668e-01 nan nan
-8.399999999999998579e-01 nan nan
-8.299999999999998490e-01 nan nan
-8.199999999999998401e-01 nan nan
-8.099999999999998312e-01 nan nan
-7.999999999999998224e-01 nan nan
-7.899999999999998135e-01 nan nan
-7.799999999999998046e-01 nan nan
-7.699999999999997957e-01 nan nan
-7.599999999999997868e-01 nan nan
-7.499999999999997780e-01 nan nan
-7.399999999999997691e-01 -2.603767715415941653e-01 1.234261884200454212e-01
-7.299999999999997602e-01 -2.761508708329576955e-01 2.324699459422280290e-02
-7.199999999999997513e-01 -2.764491864725163173e-01 9.575811709712230002e-03
-7.099999999999997424e-01 -2.790748693441089667e-01 6.104789137225863707e-03
-6.999999999999997335e-01 -2.780717045853012270e-01 5.154843344679494246e-03
-6.899999999999997247e-01 -2.750081539154052845e-01 4.342677463768796452e-03
-6.799999999999997158e-01 -2.681665318576912926e-01 4.723846197163610386e-03
-6.699999999999997069e-01 -2.583091648001419882e-01 4.681978558205579684e-03
-6.599999999999996980e-01 -2.474839849691641835e-01 4.098325690553702647e-03
-6.499999999999996891e-01 -2.343637998166837322e-01 5.479284282832977589e-03
-6.399999999999996803e-01 -2.202692740057644039e-01 4.777825774752787399e-03
-6.299999999999996714e-01 -2.063127393785275931e-01 5.580748277135096948e-03
-6.199999999999996625e-01 -1.927903299268923232e-01 5.735083283510416727e-03
-6.099999999999996536e-01 -1.784054585193332876e-01 6.935749880879376987e-03
-5.999999999999996447e-01 -1.652200203977133020e-01 7.940717622092481609e-03
-5.899999999999996358e-01 -1.510774044614089096e-01 8.128997529522999019e-03
-5.799999999999996270e-01 -1.368319265152278807e-01 1.012215597313663625e-02
-5.699999999999996181e-01 -1.241060653799458541e-01 1.088764215258336381e-02
-5.599999999999996092e-01 -1.088878920988032711e-01 1.304327765238833328e-02
-5.499999999999996003e-01 -9.481407952936071748e-02 1.206853325200699621e-02
